Student_ID,Name,Email,Phone,Course,Fee_Paid,City,Enrolled_Date
STU1001,Manoj K,,9876543210,Python,TRUE,Chennai,2025-05-23
STU1002,Priya S,priya.s@yahoo.com,,Machine Learning,FALSE,Coimbatore,2025-05-06
STU1003,Ravi Kumar,,9123456789,Python,TRUE,Madurai,2025-02-19
STU1004,Anitha R,anitha@gmail.com,9000011111,Machine Learning,FALSE,Chennai,2025-04-05
STU1005,Karthik,,,Python,TRUE,UNKNOWN,2025-02-08
STU1006,Deepa M,deepam@gmail.com,8123456789,Data Science,TRUE,Salem,2025-03-09
STU1007,Suresh T,,7654321098,Python,FALSE,Trichy,2025-01-14
STU1008,Kavitha,kavitha99@gmail.com,9988776655,Machine Learning,TRUE,Chennai,2025-01-15
STU1009,Rajesh Kk,,8877665544,Python,TRUE,Coimbatore,2025-05-15
STU1010,Nithya R,nithyar@yahoo.com,9765432109,Data Science,FALSE,Madurai,2025-04-25
STU1011,Arun P,arunp@gmail.com,7788990011,Python,TRUE,Chennai,2025-06-17
STU1012,Meena D,,,Machine Learning,TRUE,Salem,2025-02-21
STU1013,Santhosh V,santhoshv@gmail.com,9900112233,Python,FALSE,Trichy,2025-01-26
STU1014,Lakshmi,,8811223344,Data Science,TRUE,Chennai,2025-03-07
STU1015,Vijay S,vijays@yahoo.com,9922334455,Machine Learning,TRUE,Coimbatore,2025-04-24
STU1016,Pooja N,poojan@gmail.com,9090909090,Python,FALSE,UNKNOWN,2025-02-16
STU1017,Dinesh R,,8080808080,Data Science,TRUE,Madurai,2025-02-23
STU1018,Saranya,saranya22@gmail.com,,Python,TRUE,Chennai,2025-02-11
STU1019,Bala K,,7070707070,Machine Learning,FALSE,Salem,2025-06-12
STU1020,Revathi M,revathim@yahoo.com,9191919191,Machine Learning,TRUE,Trichy,2025-06-12
STU1021,Muthu S,muthus@gmail.com,8282828282,Python,TRUE,Chennai,2025-02-24
STU1022,Geetha,,9393939393,Data Science,FALSE,Coimbatore,2025-05-08
STU1023,Prasanth J,prasanthj@gmail.com,7474747474,Python,TRUE,Madurai,2025-03-05
STU1024,Divya P,divyap@yahoo.com,8585858585,Machine Learning,TRUE,Chennai,2025-06-10
STU1025,Senthil K,,,Python,FALSE,Trichy,2025-05-15
STU1026,Janaki R,janakir@gmail.com,9696969696,Data Science,TRUE,Salem,2025-05-02
STU1027,Ramesh M,,7878787878,Python,TRUE,Chennai,2025-03-01
STU1028,Usha D,ushad@gmail.com,8989898989,Machine Learning,FALSE,Madurai,2025-04-21
STU1029,Gopal V,,9010101010,Python,TRUE,Coimbatore,2025-01-12
STU1030,Thenmozhi,thenmozhi@gmail.com,8121212121,Machine Learning,TRUE,UNKNOWN,2025-04-13
STU1031,Arjun C,arjunc@gmail.com,7232323232,Python,FALSE,Trichy,2025-01-15
STU1032,Swetha L,,,Data Science,TRUE,Chennai,2025-05-26
STU1033,Naveen B,naveenb@gmail.com,9343434343,Python,TRUE,Salem,2025-06-23
STU1034,Mala S,malas@yahoo.com,8454545454,Machine Learning,FALSE,Chennai,2025-03-21
STU1035,Karthi P,,7565656565,Python,TRUE,Coimbatore,2025-02-14
STU1036,Suganya T,suganyt@gmail.com,9676767676,Data Science,TRUE,Madurai,2025-04-10
STU1037,Venkat R,,8787878787,Python,FALSE,Trichy,2025-02-12
STU1038,Indira K,indirak@gmail.com,,Machine Learning,TRUE,Chennai,2025-06-01
STU1039,Mohan J,mohanj@yahoo.com,9898989898,Python,TRUE,Salem,2025-01-23
STU1040,Dharani S,,7909090909,Data Science,FALSE,UNKNOWN,2025-04-19
STU1041,Kishore M,kishorem@gmail.com,8010101010,Machine Learning,TRUE,Chennai,2025-02-21
STU1042,Padma V,,9121212121,Python,TRUE,Coimbatore,2025-03-22
STU1043,Balaji T,balajit@gmail.com,7232323232,Data Science,FALSE,Madurai,2025-03-17
STU1044,Rekha N,rekhan@yahoo.com,,Python,TRUE,Chennai,2025-02-05
STU1045,Selvam K,,8343434343,Machine Learning,TRUE,Salem,2025-02-28
STU1046,Chitra R,chitrar@gmail.com,9454545454,Machine Learning,FALSE,Trichy,2025-03-15
STU1047,Ganesh P,,7565656565,Python,TRUE,Chennai,2025-06-27
STU1048,Latha S,lathas@gmail.com,8676767676,Data Science,TRUE,Coimbatore,2025-04-04
STU1049,Suresh B,,,Python,FALSE,Madurai,2025-04-20
STU1050,Ammu K,ammuk@gmail.com,9787878787,Machine Learning,TRUE,Chennai,2025-02-13
